Date,Open,High,Low,Close,Adj Close,Volume
2023-11-20,730.450012,744.000000,725.549988,734.549988,734.549988,52581
2023-11-21,734.349976,740.000000,717.150024,719.650024,719.650024,21194
2023-11-22,716.599976,721.099976,710.200012,717.000000,717.000000,13269
2023-11-23,727.700012,727.700012,718.099976,719.650024,719.650024,6133
2023-11-24,719.650024,723.500000,711.549988,722.099976,722.099976,149737
2023-11-28,722.150024,742.599976,720.500000,737.049988,737.049988,19043
2023-11-29,730.049988,749.900024,730.049988,748.900024,748.900024,25021
2023-11-30,750.250000,754.250000,738.650024,740.500000,740.500000,35644
2023-12-01,742.599976,751.000000,740.049988,742.049988,742.049988,29998
2023-12-04,756.900024,756.900024,743.000000,753.700012,753.700012,244999
2023-12-05,754.049988,767.049988,745.000000,760.750000,760.750000,32308
2023-12-06,760.500000,764.599976,743.200012,747.000000,747.000000,102597
2023-12-07,753.700012,753.700012,739.500000,751.250000,751.250000,14874
2023-12-08,751.950012,751.950012,734.400024,740.599976,740.599976,207305
2023-12-11,744.950012,745.950012,735.900024,739.950012,739.950012,225587
2023-12-12,743.799988,748.799988,739.799988,741.400024,741.400024,27851
2023-12-13,741.250000,741.250000,729.450012,734.349976,734.349976,27665
2023-12-14,740.150024,761.099976,737.549988,760.150024,760.150024,27621
2023-12-15,764.900024,769.200012,752.849976,756.650024,756.650024,78785
2023-12-18,759.000000,759.000000,742.700012,748.650024,748.650024,308911
2023-12-19,748.799988,748.799988,730.349976,731.400024,731.400024,48213
2023-12-20,736.000000,771.900024,735.400024,759.750000,759.750000,196856
2023-12-21,751.000000,773.200012,743.549988,771.150024,771.150024,79195
2023-12-22,774.799988,785.500000,754.849976,765.250000,765.250000,47190
2023-12-26,767.549988,771.900024,763.500000,770.150024,770.150024,12801
2023-12-27,775.750000,780.250000,767.900024,774.299988,774.299988,39110
2023-12-28,776.099976,798.849976,768.000000,789.000000,789.000000,49749
2023-12-29,789.099976,792.000000,775.849976,787.000000,787.000000,66136
2024-01-01,780.049988,792.250000,779.299988,785.500000,785.500000,148599
2024-01-02,789.849976,789.849976,761.450012,766.400024,766.400024,22688
2024-01-03,763.900024,774.000000,754.500000,769.950012,769.950012,14562
2024-01-04,777.500000,804.349976,750.000000,797.200012,797.200012,44351
2024-01-05,800.150024,809.349976,791.799988,801.049988,801.049988,41319
2024-01-08,808.750000,813.000000,791.299988,801.599976,801.599976,252056
2024-01-09,812.599976,812.599976,775.000000,777.299988,777.299988,24676
2024-01-10,774.700012,781.549988,764.799988,772.299988,772.299988,41331
2024-01-11,777.000000,786.000000,772.950012,776.500000,776.500000,30047
2024-01-12,789.849976,790.000000,772.000000,788.500000,788.500000,24397
2024-01-15,788.650024,792.349976,770.000000,772.250000,772.250000,79631
2024-01-16,771.250000,782.000000,770.799988,775.299988,775.299988,24008
2024-01-17,772.900024,783.150024,745.000000,757.500000,757.500000,66572
2024-01-19,742.000000,746.150024,724.450012,730.650024,730.650024,83715
2024-01-23,750.150024,760.000000,709.049988,715.950012,715.950012,69121
2024-01-24,717.000000,738.799988,709.750000,736.849976,736.849976,32830
2024-01-25,739.349976,741.099976,703.500000,708.049988,708.049988,80794
2024-01-29,678.750000,678.750000,624.099976,626.799988,626.799988,715462
2024-01-30,628.450012,631.000000,613.599976,625.299988,625.299988,309580
2024-01-31,625.549988,640.049988,621.000000,636.700012,636.700012,224368
2024-02-01,640.000000,644.000000,632.200012,635.549988,635.549988,130767
2024-02-02,644.150024,645.250000,627.549988,629.150024,629.150024,167576
2024-02-05,629.150024,629.200012,617.000000,623.099976,623.099976,208874
2024-02-06,621.750000,621.750000,613.000000,616.599976,616.599976,99934
2024-02-07,617.599976,622.299988,612.099976,619.000000,619.000000,89735
2024-02-08,620.000000,625.599976,594.150024,595.849976,595.849976,392555
2024-02-09,599.599976,606.000000,592.200012,603.599976,603.599976,148835
2024-02-12,609.799988,609.799988,585.549988,594.000000,594.000000,67786
2024-02-13,600.000000,602.200012,587.549988,592.700012,592.700012,152849
2024-02-14,589.150024,594.650024,580.299988,591.150024,591.150024,75896
2024-02-15,595.000000,595.000000,580.200012,581.700012,581.700012,113271
2024-02-16,586.950012,586.950012,579.599976,581.349976,581.349976,53289
2024-02-19,587.849976,604.500000,582.000000,598.099976,598.099976,116751
2024-02-20,603.799988,610.599976,598.000000,599.650024,599.650024,146759
2024-02-21,607.200012,607.200012,584.599976,587.900024,587.900024,175089
2024-02-22,588.950012,594.000000,583.750000,593.299988,593.299988,228667
2024-02-23,597.250000,606.900024,593.299988,599.700012,599.700012,246124
2024-02-26,600.750000,600.750000,584.099976,586.599976,586.599976,130693
2024-02-27,588.049988,595.500000,586.599976,589.799988,589.799988,160626
2024-02-28,597.950012,597.950012,568.000000,570.750000,570.750000,41231
2024-02-29,571.200012,576.000000,564.950012,570.099976,570.099976,142584
2024-03-01,572.000000,579.549988,570.750000,575.599976,575.599976,89219
2024-03-04,582.849976,583.900024,576.000000,579.799988,579.799988,137155
2024-03-05,590.450012,590.450012,570.799988,571.950012,571.950012,169123
2024-03-06,573.200012,577.849976,564.500000,566.650024,566.650024,112853
2024-03-07,568.900024,575.799988,565.750000,571.700012,571.700012,52727
2024-03-11,572.750000,585.450012,569.750000,584.299988,584.299988,180122
2024-03-12,587.650024,590.599976,574.349976,575.500000,575.500000,147023
2024-03-13,576.299988,586.400024,570.250000,578.049988,578.049988,97187
2024-03-14,575.000000,588.000000,569.000000,584.000000,584.000000,98063
2024-03-15,584.000000,587.250000,575.299988,578.349976,578.349976,49891
2024-03-18,581.099976,583.599976,568.000000,570.299988,570.299988,75824
2024-03-19,576.000000,582.450012,557.500000,559.700012,559.700012,136511
2024-03-20,565.349976,568.500000,554.000000,559.849976,559.849976,35155
2024-03-21,568.000000,571.900024,563.650024,566.049988,566.049988,47060
2024-03-22,564.000000,568.900024,559.650024,564.349976,564.349976,101871
2024-03-26,560.599976,568.099976,560.599976,562.450012,562.450012,200864
2024-03-27,568.750000,568.750000,557.200012,561.349976,561.349976,254425
